REVEAL__blur_euclidean,LRP__blur_euclidean,Same_Classification__blur,REVEAL__gausian_small_normal_euclidean,LRP__gausian_small_normal_euclidean,Same_Classification__gausian_small_normal,REVEAL__small_uniform_euclidean,LRP__small_uniform_euclidean,Same_Classification__small_uniform,REVEAL__big_uniform_euclidean,LRP__big_uniform_euclidean,Same_Classification__big_uniform,REVEAL__gausian_big_normal_euclidean,LRP__gausian_big_normal_euclidean,Same_Classification__gausian_big_normal
,,,,,,,,,,,,0.0038248899982536,0.0027243286687818,True
0.0013792640659833,0.0020938881331469,False,,,,,,,,,,,,
,,,0.0003612894783057,0.0004897701162507,True,,,,,,,,,
,,,,,,0.0010103137738648,0.0012630429112125,True,,,,,,
,,,,,,,,,0.002397939539362,0.0070580926464537,False,,,
,,,,,,,,,,,,0.0008509313572579,0.003157960841851,True
0.0012278425285318,0.0016773004037137,True,,,,,,,,,,,,
,,,0.0006324972729448,0.0006070152716217,True,,,,,,,,,
,,,,,,0.0005372692889387,0.0021431330531176,True,,,,,,
,,,,,,,,,0.0051221671683663,0.010827694217666,False,,,
,,,,,,,,,,,,0.0018185262291781,0.0033691171918731,True
0.0010337077853671,0.0012270040785081,False,,,,,,,,,,,,
,,,0.0006365870057454,0.000357154174671,True,,,,,,,,,
,,,,,,0.0007376393651321,0.0013981121338321,True,,,,,,
,,,,,,,,,0.0020658956394566,0.0053273838377751,False,,,
,,,,,,,,,,,,0.0035508478548922,0.0026383257434512,True
0.0006249440022786,0.0011857453094787,True,,,,,,,,,,,,
,,,0.0006315754139754,0.0004464860276659,True,,,,,,,,,
,,,,,,0.000820114064555,0.0015673615874397,True,,,,,,
,,,,,,,,,0.0045193771690031,0.0082581009281451,False,,,
,,,,,,,,,,,,0.0014069256674923,0.0026608160694459,True
0.0001952813294985,0.0016117073832167,True,,,,,,,,,,,,
,,,0.0003015472303783,0.0007268315684827,True,,,,,,,,,
,,,,,,0.0011447546132319,0.0020887315152829,True,,,,,,
,,,,,,,,,0.0042096368538711,0.0134204075043922,False,,,
,,,,,,,,,,,,0.0017138216123818,0.004720585417238,True
0.000582728352915,0.0019066794728678,False,,,,,,,,,,,,
,,,0.0002834350679259,0.0004738188923396,True,,,,,,,,,
,,,,,,0.0006169591783611,0.0005897369455043,True,,,,,,
,,,,,,,,,0.0029719786591086,0.0056946447179682,True,,,
,,,,,,,,,,,,0.0018796801270398,0.0033736672451182,True
0.0005104957353664,0.0015862940601423,True,,,,,,,,,,,,
,,,0.0004811016042875,0.0004526088179338,True,,,,,,,,,
,,,,,,0.0003505890675846,0.0024500775439867,True,,,,,,
,,,,,,,,,0.004142961563687,0.0089575588049906,False,,,
,,,,,,,,,,,,0.0009941788656915,0.0027088017998461,True
0.0011085624832978,0.0015434766272109,False,,,,,,,,,,,,
,,,0.0003241457126889,0.0005311391579793,True,,,,,,,,,
,,,,,,0.0017650515201892,0.0018530152915851,False,,,,,,
,,,,,,,,,0.0038000842635603,0.0080631430746664,False,,,
,,,,,,,,,,,,0.0014489475362811,0.003193232856677,False
0.0007410985400403,0.0012952270044535,True,,,,,,,,,,,,
,,,0.0006257862807152,0.000479107199978,True,,,,,,,,,
,,,,,,0.000817569191993,0.0009527236855988,True,,,,,,
,,,,,,,,,0.0041096765881453,0.0055028987587507,True,,,
,,,,,,,,,,,,0.0015746632695086,0.0028103825156217,True
0.0008217989731467,0.0009209122395817,True,,,,,,,,,,,,
,,,0.0007924471392366,0.0004962871257703,True,,,,,,,,,
,,,,,,0.0002967352972903,0.0008279915226332,True,,,,,,
,,,,,,,,,0.0025258238952444,0.0070681933140861,False,,,
,,,,,,,,,,,,0.0006958237935288,0.0030229170218317,True
0.0009398514492072,0.0014087738040331,True,,,,,,,,,,,,
,,,0.0007516744356896,0.000602436683044,True,,,,,,,,,
,,,,,,0.0021194878376092,0.0023028499206131,False,,,,,,
,,,,,,,,,0.0023593051006818,0.0064328512475679,False,,,
,,,,,,,,,,,,0.0021798156961315,0.0028850849405031,True
0.000870459400032,0.0014049031350088,True,,,,,,,,,,,,
,,,0.0006110098536864,0.0004311200870529,True,,,,,,,,,
,,,,,,0.0008800531395429,0.001503283308796,True,,,,,,
,,,,,,,,,0.0016142555353854,0.0055216356599948,False,,,
,,,,,,,,,,,,0.0016620505280332,0.0028292099950249,True
0.0010385619478409,0.0022502502296521,True,,,,,,,,,,,,
,,,0.000307725811277,0.0009111547874335,True,,,,,,,,,
,,,,,,0.0006615314754028,0.0011234547432482,True,,,,,,
,,,,,,,,,0.0041205827914049,0.0125065018844253,False,,,
,,,,,,,,,,,,0.0007162028523198,0.0052029759097731,True
0.0013482971466682,0.0007887580215145,True,,,,,,,,,,,,
,,,0.0003262364306657,0.0002587536755057,True,,,,,,,,,
,,,,,,0.0046851646996668,0.0022914296654619,True,,,,,,
,,,,,,,,,0.0047386785669608,0.0060217758482617,True,,,
,,,,,,,,,,,,0.0019378344378798,0.0028940251623595,True
0.0004538930037448,0.0013844374366086,True,,,,,,,,,,,,
,,,0.0001098956951934,0.0007518676964809,True,,,,,,,,,
,,,,,,8.798784033735482e-05,0.0010900731601193,True,,,,,,
,,,,,,,,,0.0009318290225564,0.0092644179031071,False,,,
,,,,,,,,,,,,0.0017164686665552,0.0052804311017102,True
0.0007840761970265,0.0009509940741616,True,,,,,,,,,,,,
,,,0.0010353331016706,0.0004460752967348,True,,,,,,,,,
,,,,,,0.0003380891590023,0.0007028513371078,True,,,,,,
,,,,,,,,,0.0040016796213408,0.0047283518998777,False,,,
,,,,,,,,,,,,0.0011352190138292,0.0020790722733402,True
0.0007193448008509,0.0006393419140596,True,,,,,,,,,,,,
,,,0.000263132413716,0.0002825548857877,True,,,,,,,,,
,,,,,,0.0006528327826254,0.0003099052694364,True,,,,,,
,,,,,,,,,0.0037407221479291,0.0047084371426967,False,,,
,,,,,,,,,,,,0.0023373185544521,0.0023875792443406,True
0.0003476239015333,0.0009528632536398,True,,,,,,,,,,,,
,,,0.00078596238658,0.000481628491143,True,,,,,,,,,
,,,,,,0.0026447801732073,0.0023987606652345,True,,,,,,
,,,,,,,,,0.0068369403801211,0.0067365136871142,False,,,
,,,,,,,,,,,,0.0008791809050668,0.0022944616374936,True
0.0005708740403544,0.0013873157793342,True,,,,,,,,,,,,
,,,0.0006206622997852,0.0004818679539191,True,,,,,,,,,
,,,,,,0.001004485091845,0.00315666567944,True,,,,,,
,,,,,,,,,0.005608963451782,0.0087758605054719,False,,,
,,,,,,,,,,,,0.0029786442346499,0.0031331555915202,True
0.0030633275684067,0.0025213751463883,True,,,,,,,,,,,,
,,,0.0002840106710213,0.0008919622006561,True,,,,,,,,,
,,,,,,0.0010780552359372,0.0015902725964996,True,,,,,,
,,,,,,,,,0.0064185784115399,0.0137816638078183,False,,,
,,,,,,,,,,,,0.0023653788186102,0.004546870905935,True
0.0011998839424617,0.0012954507163763,True,,,,,,,,,,,,
,,,0.0007982763315452,0.0005289633666877,True,,,,,,,,,
,,,,,,0.0003789497261021,0.0014743100850976,True,,,,,,
,,,,,,,,,0.0029916052817642,0.0062030094590689,False,,,
,,,,,,,,,,,,0.0012609239089856,0.0032099956172687,True
0.0003631056888906,0.0012023430156014,True,,,,,,,,,,,,
,,,0.0004746681296066,0.0003962146877413,True,,,,,,,,,
